Ciclo,Error medio de entrenamiento,Error medio de validación
0,0.029530811775244744,0.024970392060951047
1,0.024093205894300532,0.023550383206150462
2,0.023378895369849804,0.023033510085537317
3,0.02303296938898496,0.02271725307036337
4,0.022782743848232066,0.022480143868244064
5,0.02258352525695627,0.022291643037014624
6,0.0224223010156089,0.022138915750253573
7,0.02229149873325666,0.02201421317118955
8,0.022185335915151098,0.021911998317426826
9,0.022099158377665126,0.021828019078499638
10,0.022029192387693537,0.02175890303475095
11,0.021972376340362858,0.02170193499157261
12,0.021926226762572807,0.021654913110807094
13,0.021888729394781557,0.021616045404137075
14,0.021858250641802822,0.02158387056538259
15,0.02183346567171544,0.021557195458702185
16,0.021813300072656493,0.02153504497968484
17,0.02179688252502205,0.02151662153741633
18,0.02178350641402858,0.021501272193063598
19,0.021772598695429034,0.021488461960253526
20,0.021763694644622,0.021477752090746604
21,0.021756417377763602,0.021468782403785466
22,0.02175046124332639,0.021461256899472928
23,0.021745578352826277,0.02145493204104635
24,0.021741567657574287,0.021449607207051493
25,0.021738266090359025,0.021445116908275046
26,0.021735541381851763,0.021441324440342496
27,0.02173328623524463,0.021438116704584523
28,0.021731413602425868,0.021435399979856502
29,0.021729852853495307,0.021433096468664006
30,0.021728546670760136,0.02143114147397667
31,0.021727448530257817,0.021429481089944035
32,0.021726520659731435,0.021428070311523585
33,0.02172573238297323,0.021426871485743144
34,0.021725058777476127,0.02142585304171145
35,0.021724479586141644,0.021424988448188933
36,0.021723978334991456,0.02142425535703939
37,0.02172354161791345,0.021423634898613736
38,0.021723158516839876,0.021423111101404352
39,0.021722820131730047,0.021422670413421416
40,0.021722519199575987,0.021422301306902387
41,0.02172224978557927,0.021421993951351578
42,0.0217220070328344,0.021421739942661562
43,0.02172178695943932,0.021421532078312183
44,0.021721586294049154,0.021421364170470168
45,0.021721402342589836,0.021421230890301384
46,0.02172123288022629,0.02142112763802167
47,0.0217210760637979,0.021421050434201793
48,0.02172093036084042,0.021420995828649824
49,0.021720794492048376,0.021420960823853384
50,0.021720667384627995,0.02142094281050279
51,0.021720548134473997,0.021420939513056212
52,0.02172043597549502,0.021420948943667795
53,0.02172033025473051,0.02142096936309457
54,0.02172023041215894,0.021420999247438982
55,0.02172013596430616,0.02142103725978215
56,0.021720046490931906,0.021421082225924783
57,0.021719961624209392,0.021421133113586722
58,0.02171988103992425,0.021421189014525218
59,0.02171980445030913,0.021421249129122705
60,0.02171973159820301,0.021421312753069223
