"","cieloDespejado","multinube","nube"
"1",1.50897062667354e-06,0.010680241510272,0.991201400756836
"2",4.60219466702494e-11,0.951189279556274,0.0481221899390221
"3",3.69604902239473e-11,7.06700593582354e-05,0.999949216842651
"4",9.88610736385453e-06,6.6311393709384e-08,0.999996423721313
"5",1.20850982554543e-08,0.000989081570878625,0.999266386032104
"6",7.27514215537184e-10,6.71677844366059e-05,0.999948680400848
"7",4.35491465111681e-09,0.0619647689163685,0.941596448421478
"8",4.44925846165845e-10,3.37896881319466e-06,0.999997794628143
"9",3.02511875815981e-06,0.00727464538067579,0.993813157081604
"10",6.1239532556101e-08,0.0766688957810402,0.933850169181824
"11",4.00786149157284e-07,1.82813089111278e-08,1
"12",4.63589567516465e-05,2.39165065529789e-09,1
"13",4.71731161078015e-11,4.53913268083639e-10,1
"14",2.00622601864708e-10,0.999555230140686,0.000329769885865971
"15",7.78589878791536e-07,0.0152058051899076,0.987126767635345
"16",5.17433477398299e-07,0.999291896820068,0.000589866482187063
"17",3.76971911464352e-06,0.000539852306246758,0.999579966068268
"18",2.90474987812983e-11,1.09994031569603e-13,1
"19",3.42682869813871e-06,0.994007408618927,0.00609383545815945
"20",1.95715088580073e-07,2.19316911853618e-10,1
"21",4.33007324440737e-10,0.999998927116394,7.06902994807024e-07
"22",3.19193964060105e-06,6.22024117546971e-06,0.999993860721588
"23",6.58454496260674e-07,0.994581043720245,0.00461454596370459
"24",2.54920996667352e-06,2.53803336818237e-05,0.999979913234711
"25",5.57453215532799e-11,6.78249125485308e-06,0.999995648860931
"26",4.06718390877359e-06,0.000735450477804989,0.999448776245117
"27",1.85532030627655e-07,0.999999642372131,2.5424384375583e-07
"28",7.93257282083459e-09,2.41536241674112e-07,0.99999988079071
"29",1.60978871122097e-07,0.998962223529816,0.000865568523295224
"30",5.33832871951745e-06,0.000153178800246678,0.999881505966187
"31",1.59244664246216e-05,1.93883291643715e-08,1
"32",8.08203837188159e-10,0.974999189376831,0.0220075007528067
"33",0.999969899654388,4.74801981908968e-06,3.00536953545816e-06
"34",2.62560934061185e-06,0.000423890014644712,0.999711096286774
"35",3.63243879419883e-10,2.62699604292038e-08,1
"36",0.00643864553421736,0.636886656284332,0.329349279403687
"37",4.89597269393016e-08,0.979651391506195,0.0190071817487478
"38",0.000181375551619567,0.00141571904532611,0.998051643371582
"39",1.78393236183183e-06,1.02454225725523e-06,0.999999523162842
"40",5.44271699709498e-07,7.1359448838848e-07,0.999999046325684
"41",2.86511120384247e-10,0.000503915944136679,0.999585330486298
"42",4.12338652111544e-09,0.000297565275104716,0.99980640411377
"43",9.54767187977268e-07,1,1.22026229121275e-08
"44",4.22586163040251e-05,0.971676766872406,0.0265545174479485
"45",1.70967530266353e-06,1.08983786049066e-05,0.999993681907654
"46",2.9828419428668e-05,0.982704341411591,0.0158054642379284
"47",4.72590187428068e-07,0.000582478474825621,0.999558866024017
"48",2.79626144461531e-09,6.57568580209045e-06,0.999995291233063
"49",1.45979214494218e-07,0.996340095996857,0.00322005292400718
"50",1.76360626937822e-05,0.00148140219971538,0.999332964420319
"51",1.24284071034708e-07,0.969679117202759,0.0287852976471186
"52",5.40790369996103e-06,7.86210330261383e-06,0.999993681907654
"53",3.36195355998825e-08,0.999839663505554,0.000131855384097435
"54",3.53847340317515e-10,7.13568404364651e-09,1
"55",3.50425993778103e-10,0.0557543933391571,0.950039744377136
"56",1.32647093309401e-08,0.000506471027620137,0.999626219272614
"57",1.54889403347624e-06,0.999248266220093,0.000635933538433164
"58",3.65979746508316e-10,2.51007370444256e-09,1
"59",1.94578133232426e-05,5.56145664631913e-07,0.999999642372131
"60",7.16521703081341e-11,0.000182024901732802,0.999864339828491
"61",2.91816513708909e-06,6.02948648520396e-06,0.999995529651642
"62",2.69791029794408e-11,0.947796881198883,0.0480513162910938
"63",8.65457786858315e-06,1.24061375572637e-06,0.999999165534973
"64",3.92153680195406e-07,0.843128323554993,0.147195652127266
"65",5.87653675721000e-11,3.16338455430554e-10,1
"66",7.63641310186358e-07,0.999999701976776,2.19904265463811e-07
"67",2.45314413227504e-09,2.22444014070788e-05,0.999983072280884
"68",1.35519157993258e-05,0.0118819233030081,0.989374995231628
"69",8.56181583963611e-11,0.89865243434906,0.0895880907773972
"70",1.79237031261437e-06,2.00817976292456e-05,0.999987125396729
"71",0.00177296693436801,0.00255350302904844,0.988630831241608
"72",1.14856925392814e-06,0.998232901096344,0.00146495515946299
"73",0.00257025193423033,0.383356183767319,0.473069101572037
"74",8.97425593393564e-07,0.999921321868896,6.27578192506917e-05
"75",6.71401961804818e-11,3.43378414981999e-05,0.999971687793732
"76",0.454410970211029,3.92588565822916e-11,0.477351039648056
"77",9.81438716962657e-08,0.725069284439087,0.277503818273544
"78",1.92400706477969e-10,0.0014234579866752,0.998901128768921
"79",6.52426251690486e-07,0.999985456466675,1.10103774204617e-05
"80",8.11355948826531e-06,2.10908055464643e-07,0.99999988079071
"81",2.5958963760786e-06,0.934805035591125,0.047096885740757
"82",3.60801168426406e-05,0.000136837217723951,0.999858200550079
"83",2.14199957326855e-07,0.00101404765155166,0.999244451522827
"84",4.13816508837428e-10,0.142345607280731,0.84852796792984
"85",1.39442227009567e-05,1.18315249153511e-07,0.999999940395355
"86",1.59667706611799e-05,1.10940177933117e-07,0.999999940395355
"87",5.29208250554802e-07,6.3793066829021e-07,0.999998509883881
"88",1.64126660706643e-07,0.999919235706329,7.41040785214864e-05
"89",1.15660595838563e-05,1.12788132999864e-10,1
"90",3.7214125114815e-09,0.00192202546168119,0.998427093029022
"91",4.11874458150496e-11,0.000249871605774388,0.999824225902557
"92",0.991350650787354,1.80238544089661e-08,0.00103365106042475
"93",2.5294925876107e-11,9.4341949079535e-06,0.999993920326233
"94",6.60518271615729e-05,0.00046062283217907,0.999656140804291
"95",1.67968755704351e-05,1.64067578967142e-10,1
"96",8.4391313381893e-11,0.344264954328537,0.644820749759674
"97",1.10543922460238e-07,0.624885082244873,0.36800342798233
"98",6.89185597479991e-10,2.93151733785635e-05,0.999977648258209
"99",4.66528933540378e-11,8.01772093161901e-10,1
"100",2.14659780795046e-06,0.984646379947662,0.0141648408025503
"101",4.40106268797535e-05,4.26140504714567e-05,0.999952733516693
"102",2.17528856039095e-10,3.02222938515506e-12,1
"103",2.53567554864276e-06,0.999993026256561,6.06354842602741e-06
"104",3.41728409694042e-05,0.228814750909805,0.82917320728302
"105",1.40201564136078e-06,1.80089537025196e-05,0.999990105628967
"106",7.60462512516824e-07,0.987559020519257,0.0106716342270374
"107",1.09663278458072e-09,1.88375124707818e-05,0.999985218048096
"108",1.16309784914392e-07,1.43267586683038e-09,1
"109",6.71584348310716e-05,0.106697417795658,0.790647208690643
"110",3.58280523304888e-11,1.71035771927563e-05,0.999987602233887
"111",1.03005359797237e-09,0.999869823455811,9.57215743255801e-05
"112",4.01941633754177e-06,3.96182549593505e-05,0.999981105327606
"113",9.86503212452305e-10,3.57150331531386e-09,1
"114",1.06565767321598e-09,0.969892680644989,0.0331487879157066
"115",0.98049920797348,2.21450822124325e-08,0.00145896046888083
"116",5.13878876517992e-06,0.0010541882365942,0.999491095542908
"117",0.960106313228607,2.40251942784653e-08,0.00688236579298973
"118",1.02662443168811e-05,0.000339106481987983,0.999588847160339
"119",4.67930547642936e-08,5.92984133618302e-06,0.999997198581696
"120",2.89188317736944e-09,2.48008302783376e-09,1
"121",7.8371817835432e-07,0.999327301979065,0.000581134343519807
"122",4.71296569479196e-12,8.3445651398506e-05,0.999939560890198
"123",5.8133684888162e-07,1.66122148925751e-07,0.999999821186066
"124",2.41962811742269e-06,0.999610364437103,0.000312151823891327
"125",1.52837280609219e-08,2.1704352204388e-10,1
"126",0.000514696526806802,4.96121429023333e-05,0.999908804893494
"127",7.26612086054956e-08,9.39153824153216e-11,1
"128",6.0489996940305e-06,1.08549513821998e-09,1
"129",1.18617533573229e-08,0.000315142649924383,0.999774813652039
"130",2.74936323707564e-12,1.31116685224697e-05,0.999990880489349
"131",0.9753457903862,2.13108886093494e-09,0.00754343857988715
"132",1.49853967741365e-05,6.30695780046153e-08,0.999999940395355
"133",6.73013023089197e-09,0.00491495849564672,0.995899736881256
"134",0.000121932054753415,8.34991715237265e-06,0.999892830848694
"135",2.78384093554962e-09,0.00410472368821502,0.996367454528809
"136",8.64413209455961e-07,1.52747356430005e-10,1
"137",3.74103137357196e-10,6.09212997431698e-14,1
"138",2.51122037298046e-06,0.99997478723526,1.91741764865583e-05
"139",2.7050413109464e-07,0.999978840351105,1.7666767234914e-05
"140",5.49771243640862e-07,3.7470733786904e-06,0.999996304512024
"141",1.57294307427946e-05,5.28258254917091e-08,0.999999940395355
"142",1.38076577949064e-10,3.31779574480606e-07,0.999999761581421
"143",2.21507161768386e-06,0.299603760242462,0.699203550815582
"144",6.88877088705908e-09,0.150783374905586,0.870068907737732
"145",1.09750479537762e-10,0.00963503587990999,0.991117775440216
"146",2.76965238299454e-05,2.97759498835148e-07,0.999999403953552
"147",1.43538386510045e-06,0.997662603855133,0.00191470491699874
"148",0.80317497253418,1.42750156140181e-09,0.0266495682299137
"149",2.17540437006392e-05,0.00623854482546449,0.986511766910553
"150",3.48827056129153e-09,0.998985350131989,0.000920949154533446
"151",3.32124585611382e-08,4.59732962809767e-09,1
"152",1.10225695237887e-09,0.996256113052368,0.0037391644436866
"153",5.47259243130482e-12,2.19753033547931e-08,1
"154",3.94519105384461e-07,4.56427962092221e-08,0.999999463558197
"155",1.06291366819278e-08,0.000140314776217565,0.999888300895691
"156",6.77891145994813e-11,0.01232551317662,0.98917293548584
"157",4.36520611324376e-11,2.49884542427026e-05,0.999983966350555
"158",2.15389786717424e-06,0.00361076346598566,0.997004330158234
"159",1.58148546341996e-11,3.62673672498204e-05,0.999970376491547
"160",2.8883293907711e-06,0.000437701004557312,0.999677538871765
"161",2.17109264594173e-11,4.15397771575954e-05,0.999966740608215
"162",1.25208612189454e-06,6.27339250058867e-06,0.999996662139893
"163",3.84012366794195e-07,0.0937868282198906,0.911121785640717
"164",7.4057584242837e-07,2.00245654013997e-06,0.999998867511749
"165",5.38516505912412e-05,6.51780737825902e-07,0.999999105930328
"166",5.12476838743225e-10,3.16093071855983e-13,1
"167",1.06656050657961e-09,0.884296178817749,0.106865115463734
"168",2.76957325695548e-05,2.06425880833194e-08,1
"169",4.53177699455409e-06,0.00869650766253471,0.992803514003754
"170",1.07518042113952e-06,1.83146049437255e-08,1
"171",3.60471713065635e-05,4.67800020942377e-09,1
"172",1.430582230455e-08,0.000256109924521297,0.999857366085052
"173",7.17246401160665e-11,3.89956148865167e-05,0.999969780445099
"174",1.78759250957228e-07,0.000219016466871835,0.999749958515167
"175",4.70970623611677e-11,2.04796998803936e-10,1
"176",0.999010860919952,8.62006061197462e-07,6.42477607470937e-05
"177",0.998814761638641,4.59261400465039e-06,0.000168262267834507
"178",0.999814033508301,1.24122436773177e-06,1.15638540592045e-05
"179",1.73662328961655e-08,9.93236742852233e-12,1
