Ciclo,Error medio de entrenamiento,Error medio de validación
0,0.03591798983145247,0.03054399229840719
1,0.02780674851800476,0.028353416312442568
2,0.026342988497496868,0.027136824129909854
3,0.025400414436199472,0.026308417511674047
4,0.024740517499168144,0.0257192607153207
5,0.024267168302022236,0.025288738079492955
6,0.023919758838720235,0.02496565891870762
7,0.023657900949038736,0.024716213791910715
8,0.023454474193587285,0.024517755579927875
9,0.023291240709860803,0.02435500556502129
10,0.023155925841976954,0.024217604329044407
11,0.02304025902721523,0.0240984956167598
12,0.022938658186239667,0.02399284917285555
13,0.022847346478431216,0.02389733906657222
14,0.022763759468495567,0.023809658679177007
15,0.02268614726652595,0.02372819402994333
16,0.022613307529512683,0.02365180334315387
17,0.022544406280097767,0.023579668034324288
18,0.022478857652098096,0.02351119177632063
19,0.022416243175224806,0.02344593197537565
20,0.02235625758968174,0.02338355312353722
21,0.022298672461632287,0.023323794939846005
22,0.022243311742691636,0.02326645052653671
23,0.022190035343790073,0.023211351321753372
24,0.022138728086836833,0.023158356676231645
25,0.022089292265216838,0.02310734658538128
26,0.02204164262626935,0.02305821658239347
27,0.02199570297946165,0.02301087411770929
28,0.0219514038960127,0.02296523596598545
29,0.021908681141530762,0.02292122634755363
30,0.021867474601181363,0.022878775550118788
31,0.02182772753603616,0.022837818903431537
32,0.021789386062342923,0.022798296005220837
33,0.021752398781073636,0.02276015012773693
34,0.02171671650900125,0.022723327755512755
35,0.02168229207858414,0.02268777821955528
36,0.021649080184690066,0.022653453403262306
37,0.021617037263403967,0.022620307502358255
38,0.021586121393002682,0.02258829682603296
39,0.021556292210424634,0.022557379629908284
40,0.021527510838740382,0.022527515973897554
41,0.021499739822589802,0.022498667599771347
42,0.02147294306953198,0.022470797824504788
43,0.02144708579591123,0.02244387144640365
44,0.021422134476284004,0.022417854661687872
45,0.021398056795747983,0.022392714989717313
46,0.02137482160471388,0.022368421205428587
47,0.02135239887579439,0.02234494327784335
48,0.021330759662575284,0.022322252313732992
49,0.02130987606009463,0.022300320505699595
50,0.021289721166897643,0.022279121084070156
51,0.02127026904856296,0.022258628272109723
52,0.02125149470261559,0.022238817244145056
53,0.021233374024755187,0.022219664086259933
54,0.021215883776338214,0.022201145759279346
55,0.02119900155305905,0.02218324006380503
56,0.021182705754780404,0.022165925607101577
57,0.021166975556467137,0.02214918177166249
58,0.021151790880180727,0.022132988685311328
59,0.02113713236809394,0.02211732719271216
60,0.021122981356487498,0.022102178828181596
61,0.02110931985069209,0.022087525789708375
62,0.021096130500940877,0.02207335091409788
63,0.021083396579098954,0.022059637653169442
64,0.021071101956237636,0.02204637005094199
65,0.02105923108102253,0.02203353272175051
66,0.02104776895888585,0.02202111082924201
67,0.021036701131954112,0.02200909006620452
68,0.02102601365970375,0.02199745663518639
69,0.021015693100318124,0.02198619722986797
70,0.021005726492720304,0.021975299017149105
71,0.020996101339256945,0.021964749619920784
72,0.020986805589009665,0.021954537100489443
73,0.02097782762171087,0.021944649944626356
74,0.0209691562322422,0.021935077046214967
75,0.02096078061569423,0.02192580769247161
76,0.020952690352967027,0.02191683154971584
77,0.02094487539689195,0.021908138649668476
78,0.02093732605885559,0.02189971937625617
79,0.02093003299590764,0.021891564452902607
80,0.0209229871983351,0.021883664930287254
81,0.020916179977685852,0.02187601217455386
82,0.020909602955225197,0.021868597855951164
83,0.020903248050809644,0.021861413937889655
84,0.020897107472162887,0.021854452666398308
85,0.02089117370453911,0.02184770655996647
86,0.020885439500759807,0.02184116839975632
87,0.020879897871610393,0.021834831220172154
88,0.020874542076583503,0.021828688299773174
89,0.020869365614956583,0.021822733152516788
90,0.020864362217191398,0.02181695951932048
91,0.02085952583664393,0.02181136135993055
92,0.02085485064157337,0.021805932845085807
93,0.02085033100743929,0.02180066834896622
94,0.020845961509476613,0.021795562441914957
95,0.0208417369155383,0.021790609883425068
96,0.020837652179195983,0.021785805615379822
97,0.020833702433089265,0.021781144755538252
98,0.020829882982514647,0.021776622591256567
99,0.020826189299245377,0.021772234573436938
