Ciclo,Error medio de entrenamiento,Error medio de validación
0,0.06442859977788071,0.0591681443911077
1,0.05089268458904203,0.050190388767953044
2,0.04422587339827668,0.044246297205039274
3,0.03962189585803888,0.04005906361358561
4,0.03631816457682597,0.037031841053665936
5,0.033906655601217556,0.03480820135981156
6,0.0321244648541584,0.03315220407221654
7,0.030790861904038534,0.03190126066446287
8,0.029778872000536586,0.03094137098087332
9,0.028998541034077525,0.030191901024959025
10,0.028385885782280015,0.02959551776979413
11,0.027895278188094542,0.029111302047640408
12,0.02749410847611384,0.028709954767318083
13,0.027159018723550053,0.02837042969730282
14,0.026873235831590216,0.028077556045288218
15,0.02662467951558129,0.02782035455072238
16,0.02640461846599222,0.02759084220240659
17,0.02620671491502421,0.027383182370222088
18,0.02602634470666343,0.027193079638630928
19,0.025860112945279696,0.027017348261311736
20,0.02570550858552934,0.026853603956948247
21,0.02556065780057005,0.02670004342579004
22,0.025424147631281747,0.026555286323315285
23,0.025294899685029612,0.02641826175569182
24,0.025172079512191872,0.026288126553027407
25,0.02505503144447521,0.026164206257024068
26,0.024943231627753616,0.026045952371167625
27,0.024836254075435885,0.02593291127585628
28,0.024733746055184108,0.02582470152842625
29,0.024635410178527255,0.025720997204946472
30,0.024540991314487372,0.025621515607458695
31,0.024450266983308284,0.025526008135358692
32,0.024363040267520283,0.02543425345837061
33,0.024279134549403947,0.025346052370442722
34,0.024198389578011986,0.025261223876834042
35,0.02412065850768443,0.02517960219050788
36,0.02404580564936484,0.025101034402797588
37,0.02397370474730317,0.025025378657177796
38,0.0239042376449543,0.02495250270099305
39,0.023837293240771034,0.024882282723237736
40,0.023772766661220777,0.024814602410563588
41,0.023710558597629557,0.02474935217119548
42,0.023650574767448387,0.024686428489204305
43,0.023592725470725783,0.024625733380937743
44,0.023536925220015516,0.02456717393228873
45,0.023483092427410087,0.02451066190056666
46,0.023431149136412845,0.024456113368515435
47,0.02338102078933704,0.02440344844084534
48,0.02333263602313169,0.024352590975770146
49,0.023285926488185133,0.024303468345645722
50,0.023240826685897095,0.02425601122203139
51,0.023197273821745336,0.02421015338143273
52,0.023155207671282627,0.024165831528710807
53,0.02311457045704129,0.024122985135706373
54,0.023075306734738118,0.02408155629307073
55,0.023037363287492858,0.024041489573644163
56,0.023000689027022406,0.02400273190600138
57,0.02296523490096689,0.023965232457006068
58,0.02293095380565619,0.023928942522396954
59,0.022897800503745857,0.0238938154245741
60,0.02286573154624651,0.023859806416873772
61,0.02283470519854737,0.023826872593719146
62,0.022804681370095305,0.023794972806115762
63,0.022775621547440256,0.02376406758202884
64,0.02274748873039787,0.023734119051237006
65,0.02272024737111281,0.02370509087430505
66,0.022693863315832924,0.023676948175359352
67,0.022668303749226494,0.023649657478384652
68,0.022643537141093427,0.02362318664679059
69,0.022619533195336123,0.02359750482602218
70,0.022596262801068998,0.02357258238901087
71,0.022573697985756525,0.023548390884282202
72,0.022551811870278608,0.02352490298655264
73,0.022530578625830695,0.0235020924496635
74,0.022509973432572345,0.023479934061712344
75,0.022489972439944387,0.023458403602254492
76,0.022470552728579937,0.023437477801456753
77,0.02245169227373916,0.023417134301095092
78,0.02243336991020212,0.023397351617296194
79,0.02241556529855732,0.023378109104929563
80,0.022398258892827275,0.023359386923564117
81,0.022381431909375537,0.023341166004908945
82,0.022365066297042137,0.023323428021662526
83,0.022349144708457162,0.023306155357701364
84,0.022333650472484593,0.02328933107954115
85,0.02231856756775063,0.02327293890901016
86,0.022303880597212857,0.023256963197075518
87,0.02228957476372863,0.023241388898769418
88,0.022275635846582608,0.023226201549162828
89,0.022262050178935424,0.02321138724033899
90,0.02224880462615677,0.02319693259932087
91,0.02223588656500796,0.023182824766909183
92,0.022223283863640343,0.02316905137739056
93,0.022210984862377287,0.02315560053907686
94,0.022198978355248998,0.023142460815638883
95,0.022187253572250352,0.023129621208200106
96,0.022175800162293462,0.02311707113815684
97,0.022164608176827503,0.02310480043069404
98,0.02215366805409973,0.023092799298966144
99,0.022142970604032475,0.023081058328915313
